item_id,order_id,product_id,quantity,unit_price,discount_percent
I00001,O0346,P0492,2,7612.69,1.54
I00002,O0482,P0191,3,9946.46,35.24
I00003,O0049,P0057,3,2593.71,53.18
I00004,O0058,P0330,4,2779.72,20.49
I00005,O0310,P0316,5,1696.22,33.67
I00006,O0328,P0091,1,7047.04,59.82
I00007,O0495,P0228,5,8462.95,47.56
I00008,O0040,P0403,2,612.79,47.6
I00009,O0187,P0468,3,5431.35,2.28
I00010,O0325,P0330,4,8968.55,46.1
I00011,O0175,P0260,1,5399.38,32.27
I00012,O0397,P0396,4,2220.16,93.72
I00013,O0135,P0148,3,6334.21,42.24
I00014,O0204,P0476,2,7817.03,50.86
I00015,O0181,P0276,3,1044.26,35.67
I00016,O0096,P0288,3,9769.66,67.51
I00017,O0028,P0398,1,6212.87,39.62
I00018,O0041,P0440,1,4867.24,81.1
I00019,O0162,P0314,5,4931.81,59.86
I00020,O0102,P0383,1,7929.87,55.63
I00021,O0024,P0339,1,1052.12,26.22
I00022,O0086,P0162,2,7797.46,29.43
I00023,O0265,P0049,1,653.95,4.83
I00024,O0221,P0152,3,9412.23,41.68
I00025,O0287,P0079,-1,1908.9,68.02
I00026,O0438,P0063,4,8162.28,44.84
I00027,O0042,P0226,5,7859.01,22.11
I00028,O0300,P0455,2,9461.57,35.96
I00029,O0232,P0416,5,2266.02,9.35
I00030,O0126,P0188,2,6032.52,78.75
I00031,O0287,P0141,2,2658.65,16.77
I00032,O0389,P0236,2,3198.19,21.1
I00033,O0180,P0333,3,996.19,27.38
I00034,O0265,P0462,3,311.42,6.05
I00035,O0151,P0143,4,4680.58,66.11
I00036,O0336,P0230,3,8532.02,37.19
I00037,O0247,P0207,2,6410.91,30.31
I00038,O0397,P0073,5,5833.8,60.21
I00039,O0172,P0262,5,4251.23,63.42
I00040,O0242,P0183,5,3338.86,10.85
I00041,O0380,P0319,5,242.89,70.3
I00042,O0226,P0026,4,1889.02,54.35
I00043,O0352,P0044,3,6179.97,67.61
I00044,O0325,P0231,2,4638.01,55.06
I00045,O0216,P0048,2,2521.8,20.12
I00046,O0283,P0493,3,9988.85,41.62
I00047,O0007,P0250,3,8422.2,1.24
I00048,O0087,P0260,1,7989.15,32.75
I00049,O0073,P0085,5,5028.88,15.18
I00050,O0395,P0371,3,2060.04,75.17
I00051,O0015,P0087,5,2754.99,85.09
I00052,O0468,P0328,1,607.76,73.17
I00053,O0050,P0010,5,284.55,62.47
I00054,O0241,P0493,4,9620.2,31.85
I00055,O0024,P0186,5,9023.52,8.29
I00056,O0210,P0462,1,5741.94,88.74
I00057,O0413,P0405,4,7783.77,25.86
I00058,O0202,P0435,3,249.21,60.48
I00059,O0095,P0099,4,5125.79,13.18
I00060,O0313,P0374,5,3511.4,21.96
I00061,O0117,P0276,3,2224.05,46.69
I00062,O0024,P0107,3,3624.13,81.67
I00063,O0479,P0323,3,1156.35,85.87
I00064,O0165,P0124,1,8896.62,81.44
I00065,O0474,P0147,2,1857.55,31.02
I00066,O0281,P0098,2,4960.48,5.96
I00067,O0414,P0107,3,9586.8,83.96
I00068,O0096,P0264,4,9270.65,8.17
I00069,O0304,P0430,4,3194.94,1.6
I00070,O0176,P0358,1,1474.95,64.35
I00071,O0092,P0218,3,5942.29,28.15
I00072,O0025,P0326,2,4221.47,39.76
I00073,O0007,P0418,2,5580.14,28.57
I00074,O0256,P0011,5,4637.05,81.52
I00075,O0318,P0488,3,8729.42,89.25
I00076,O0330,P0087,1,6138.87,20.41
I00077,O0467,P0021,3,4868.11,88.63
I00078,O0171,P0032,4,9480.16,39.49
I00079,O0343,P0268,3,5782.16,44.04
I00080,O0482,P0365,2,8268.89,75.15
I00081,O0173,P0382,5,4268.15,80.79
I00082,O0498,P0461,3,1142.11,31.13
