product_id,product_name,category,subcategory,cost_price
P0001,Comics,Books,Comics,39607.76
P0002,Magazine,Books,Magazine,6526.01
P0003,Lamp,Home,Lamp,20819.24
P0004,Mobile,Electronics,Mobile,29110.23
P0005,Speaker,Electronics,Speaker,6788.24
P0006,Chair,Home,Chair,14383.98
P0007,Chair,Home,Chair,22698.27
P0008,Mobile,Electronics,Mobile,36794.46
P0009,Mobile,Electronics,Mobile,14907.03
P0010,Jacket,Clothing,Jacket,7121.67
P0011,Jacket,Clothing,Jacket,25003.83
P0012,Chair,Home,Chair,15691.28
P0013,Tv,Electronics,TV,36521.83
P0014,T-Shirt,Clothing,T-Shirt,11695.71
P0015,Camera,Electronics,Camera,24552.25
P0016,Education,Books,Education,4029.45
P0017,Speaker,Electronics,Speaker,44058.35
P0018,Shoes,Clothing,Shoes,12685.99
P0019,Comics,Books,Comics,35931.84
P0020,Education,Books,Education,31403.97
P0021,Jacket,Clothing,Jacket,4873.2
P0022,Tv,Electronics,TV,29305.46
P0023,Lamp,Home,Lamp,29434.9
P0024,Shirt,Clothing,Shirt,47402.2
P0025,Chair,Home,Chair,49995.97
P0026,Jeans,Clothing,Jeans,30654.37
P0027,Camera,Electronics,Camera,38839.13
P0028,Shoes,Clothing,Shoes,49766.39
P0029,Shirt,Clothing,Shirt,14695.0
P0030,Mobile,Electronics,Mobile,13988.21
P0031,Comics,Books,Comics,32506.25
P0032,Laptop,Electronics,Laptop,30874.85
P0033,Sofa,Home,Sofa,14301.31
P0034,Chair,Home,Chair,43514.44
P0035,Speaker,Electronics,Speaker,10592.95
P0036,Education,Books,Education,45234.32
P0037,Speaker,Electronics,Speaker,20476.11
P0038,Biography,Books,Biography,18786.07
P0039,Shoes,Clothing,Shoes,7755.86
P0040,Jeans,Clothing,Jeans,14965.13
P0041,Novel,Books,Novel,4978.23
P0042,Chair,Home,Chair,42215.07
P0043,Jeans,Clothing,Jeans,12096.72
P0044,Mobile,Electronics,Mobile,43240.17
P0045,Biography,Books,Biography,24644.64
P0046,Chair,Home,Chair,35145.61
P0047,Jeans,Clothing,Jeans,19616.95
P0048,T-Shirt,Clothing,T-Shirt,30550.78
P0049,Comics,Books,Comics,30234.46
P0050,Magazine,Books,Magazine,21366.7
P0051,Laptop,Electronics,Laptop,36681.99
P0052,Sofa,Home,Sofa,12318.05
P0053,T-Shirt,Clothing,T-Shirt,44014.86
P0054,Shirt,Clothing,Shirt,48504.7
P0055,Comics,Books,Comics,13060.47
P0056,Lamp,Home,Lamp,15744.87
P0057,Tv,Electronics,TV,26542.73
P0058,Magazine,Books,Magazine,3052.55
P0059,Education,Books,Education,36516.38
P0060,Jacket,Clothing,Jacket,23962.91
P0061,Biography,Books,Biography,46935.66
P0062,Curtains,Home,Curtains,7058.3
P0063,Table,Home,Table,3397.64
P0064,Tv,Electronics,TV,13401.05
P0065,Jacket,Clothing,Jacket,7740.92
P0066,Table,Home,Table,26453.6
P0067,Novel,Books,Novel,27574.83
P0068,Jeans,Clothing,Jeans,3883.6
P0069,Jeans,Clothing,Jeans,17905.03
P0070,T-Shirt,Clothing,T-Shirt,24384.53
P0071,Camera,Electronics,Camera,17797.94
P0072,Speaker,Electronics,Speaker,1578.69
P0073,Novel,Books,Novel,44944.64
P0074,Magazine,Books,Magazine,48481.64
P0075,Shoes,Clothing,Shoes,7040.09
P0076,Shirt,Clothing,Shirt,13530.31
P0077,Lamp,Home,Lamp,49855.73
P0078,Camera,Electronics,Camera,6686.58
P0079,Jeans,Clothing,Jeans,41963.01
