order_id,customer_id,order_date,status,region_code
O0001,C0423,2026-03-24 22:39:17,SHIPPED,WEST
O0002,C0126,2025-08-19 20:30:00,CANCELLED,EAST
O0003,C0352,2025-01-18 08:09:36,PLACED,SOUTH
O0004,C0149,2026-05-07 03:28:18,DELIVERED,SOUTH
O0005,C0479,2024-09-16 18:23:01,DELIVERED,SOUTH
O0006,C0287,2026-03-01 09:28:54,PLACED,SOUTH
O0007,C0399,2024-08-20 17:57:45,SHIPPED,WEST
O0008,C0051,2026-02-12 06:04:01,CANCELLED,EAST
O0009,C0060,2025-02-20 15:57:05,PLACED,EAST
O0010,C0056,2025-07-30 10:49:08,PLACED,NORTH
O0011,C0410,2025-01-27 22:01:08,PLACED,EAST
O0012,C0213,2024-10-10 07:45:41,SHIPPED,EAST
O0013,C0049,2025-02-01 14:06:49,CANCELLED,SOUTH
O0014,,2026-03-22 15:26:31,RETURNED,WEST
O0015,C0136,2025-05-27 19:04:28,DELIVERED,SOUTH
O0016,C0372,2025-06-04 21:05:06,DELIVERED,EAST
O0017,C0394,2026-05-20 10:49:07,RETURNED,SOUTH
O0018,C0186,2025-10-07 09:12:05,PLACED,NORTH
O0019,C0357,2026-02-14 12:49:39,PLACED,EAST
O0020,C0481,2025-03-12 15:33:18,SHIPPED,WEST
O0021,C0026,2024-12-13 02:09:47,CANCELLED,EAST
O0022,C0074,2024-07-24 16:00:23,DELIVERED,EAST
O0023,C0209,2024-07-24 07:18:36,RETURNED,EAST
O0024,C0320,2025-11-24 23:59:54,RETURNED,NORTH
O0025,C0496,2025-03-24 00:17:45,CANCELLED,NORTH
O0026,C0085,2025-04-22 01:04:48,PLACED,SOUTH
O0027,C0167,2026-02-06 00:47:17,PLACED,NORTH
O0028,C0479,2026-04-14 00:47:05,RETURNED,WEST
O0029,C0400,2026-02-01 10:56:33,SHIPPED,NORTH
O0030,C0119,2024-11-04 08:17:38,PLACED,WEST
O0031,C0135,2025-10-27 08:20:10,SHIPPED,WEST
O0032,C0084,2025-05-26 02:56:05,CANCELLED,SOUTH
O0033,C0289,2025-09-14 07:39:31,SHIPPED,SOUTH
O0034,C0473,2025-11-18 09:32:03,DELIVERED,WEST
O0035,C0345,2025-06-16 16:43:20,PLACED,WEST
O0036,C0201,2025-09-09 16:12:58,RETURNED,EAST
O0037,C0274,2025-04-13 16:40:11,PLACED,SOUTH
O0038,C0067,2025-10-12 07:15:44,DELIVERED,EAST
O0039,C0340,2026-01-27 07:29:36,CANCELLED,EAST
O0040,C0121,2025-06-26 19:01:40,RETURNED,SOUTH
O0041,C0358,2024-11-23 02:08:06,SHIPPED,SOUTH
O0042,C0076,2025-12-31 00:49:27,PLACED,EAST
O0043,,2025-05-16 16:14:58,CANCELLED,WEST
O0044,C0083,2025-02-08 22:42:21,SHIPPED,WEST
O0045,C0463,2025-06-17 13:48:56,CANCELLED,EAST
O0046,C0074,2025-07-16 09:55:37,CANCELLED,EAST
O0047,C0336,2024-10-23 02:30:53,CANCELLED,WEST
O0048,C0029,2025-02-18 06:49:16,DELIVERED,NORTH
O0049,C0424,2026-02-27 13:23:10,DELIVERED,SOUTH
O0050,C0239,2025-03-19 19:37:51,DELIVERED,EAST
O0051,C0468,2025-08-17 12:35:49,PLACED,SOUTH
O0052,C0300,2025-04-25 08:59:02,CANCELLED,WEST
O0053,C0291,2024-10-04 12:44:38,RETURNED,WEST
O0054,C0442,2025-11-02 22:58:19,CANCELLED,NORTH
O0055,C0128,2024-12-28 15:57:39,CANCELLED,WEST
O0056,C0371,2024-12-30 23:37:05,RETURNED,NORTH
O0057,C0001,2025-02-06 11:46:57,DELIVERED,NORTH
O0058,,2025-01-03 00:07:28,CANCELLED,SOUTH
O0059,C0117,2025-10-09 23:46:37,DELIVERED,SOUTH
O0060,C0229,2024-10-23 00:53:52,PLACED,WEST
O0061,C0126,2025-12-01 04:26:29,DELIVERED,NORTH
O0062,C0023,2026-04-10 14:09:26,RETURNED,SOUTH
O0063,C0085,2025-09-26 19:02:43,CANCELLED,NORTH
O0064,C0394,2026-01-14 11:49:57,CANCELLED,SOUTH
O0065,C0165,2025-06-29 06:11:43,PLACED,EAST
O0066,C0294,2024-09-06 13:17:29,PLACED,NORTH
O0067,C0463,2024-10-18 20:19:17,PLACED,WEST
O0068,C0084,2026-06-26 14:37:51,SHIPPED,WEST
O0069,C0221,2025-04-28 23:24:58,RETURNED,WEST
O0070,C0118,2024-10-01 11:28:34,DELIVERED,SOUTH
O0071,C0109,19-02-2026,PLACED,EAST
O0072,C0256,2026-05-08 06:12:03,CANCELLED,NORTH
O0073,C0100,2024-09-28 12:33:50,CANCELLED,EAST
O0074,C0375,2025-04-03 21:42:07,SHIPPED,SOUTH
O0075,C0329,2026-01-30 02:23:46,CANCELLED,WEST
O0076,C0082,24-07-2025,CANCELLED,SOUTH
O0077,C0219,2025-04-17 15:39:05,SHIPPED,SOUTH
O0078,C0249,2026-06-26 03:06:37,PLACED,WEST
O0079,C0209,2024-12-05 16:22:56,DELIVERED,WEST
O0080,C0499,02-02-2026,PLACED,NORTH
O0081,C0192,2024-10-20 10:40:51,SHIPPED,EAST
O0082,C0026,2026-04-05 08:42:11,DELIVERED,SOUTH
O0083,C0184,2026-03-24 11:25:37,CANCELLED,WEST
O0084,C0197,2025-08-15 01:18:07,DELIVERED,EAST
O0085,C0358,2025-01-25 02:56:53,SHIPPED,WEST
O0086,C0313,2025-01-31 06:55:11,SHIPPED,SOUTH
O0087,C0369,2025-06-11 16:12:44,RETURNED,NORTH
O0088,C0168,2024-11-12 18:22:13,SHIPPED,WEST
O0089,C0277,2024-08-03 10:20:57,CANCELLED,NORTH
